#: table_doi: 10.17182/hepdata.79808.v1/t11
#: name: Figure 9c observed contour
#: description: Figure 9c (bottom left). Observed exclusion region at 95% CL assuming 100% branching fraction.
#: data_file: SUS16050_Figure9c_T5tttt_observed.yaml
#: keyword observables: regions
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | Gluino pair production | Gluino | Top squark | Dark Matter | T5tttt | SUSY
$m_{\tilde{g}}$ [GeV],$m_{\tilde{\chi}^0_1}$ [GeV]
1778.609009,89.341354
1773.119873,88.597931
1767.639893,87.823738
1762.215088,87.028259
1756.819946,86.17337
1751.474731,85.293533
1746.133789,84.374123
1740.772217,83.480537
1735.525146,82.537476
1730.438721,81.424309
1725.457764,80.182777
1720.619507,78.828659
1715.880249,77.338593
1711.120361,75.827782
1706.33374,74.361404
1701.460205,72.942955
1696.468384,71.646683
1691.328979,70.481316
1686.240479,69.372589
1681.263916,68.12883
1676.312622,66.827888
1671.469604,65.612785
1666.803833,64.476768
1662.215088,63.513641
1657.765259,62.771748
1653.423828,62.213612
1649.078003,61.877411
1644.793701,61.785549
1640.625,61.771156
1636.565674,61.730892
1632.525513,61.618675
1628.623535,61.454166
1624.879028,61.064796
1621.306274,60.361217
1617.844482,59.268726
1614.527954,57.942196
1611.434937,56.511078
1608.648926,55.151337
1606.192261,54.031387
1603.96582,53.288757
1601.889526,53.095005
1599.945557,53.426453
1597.973511,54.042004
1595.694946,54.696827
1593.022705,55.306973
1589.907349,55.721004
1586.346313,55.965584
1582.50647,55.964161
1578.369141,55.799652
1574.187378,55.572754
1570.092529,55.167507
1566.163574,54.681473
1562.419067,54.051651
1558.687622,53.310982
1554.946655,52.583904
1551.234863,51.878441
1547.428467,51.17218
1543.424194,50.585804
1539.259521,50.081024
1534.831543,50.0
1530.167725,50.0
1525.271118,50.0
1520.264771,50.0
1515.125732,50.0
1509.983521,50.0
1504.97937,50.0
1500.118164,50.0
1495.38916,50.0
1490.883789,50.0
1486.510986,50.0
1482.28125,50.0
1478.125,50.0
1473.96875,50.0
1469.848267,50.0
1465.719727,50.0
1461.658203,50.0
1457.635498,50.0
1453.622192,50.0
1449.715088,50.0
