#: table_doi: 10.17182/hepdata.79808.v1/t8
#: name: Figure 9b observed contour
#: description: Figure 9b (upper right). Observed exclusion region at 95% CL.
#: data_file: SUS16050_Figure9b_T1ttbb_observed.yaml
#: keyword observables: regions
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | Gluino pair production | Gluino | Top squark | Dark Matter | T1ttbb | SUSY
$m_{\tilde{g}}$ [GeV],$m_{\tilde{\chi}^0_1}$ [GeV]
2010.416626,778.125
2010.416626,771.875
2010.471313,765.734314
2010.675415,759.728516
2011.012207,753.867676
2011.511353,748.1745
2012.17627,742.639832
2012.97168,737.215027
2013.82666,731.819946
2014.651855,726.365417
2015.367188,720.780273
2015.92395,715.029541
2016.31311,709.116272
2016.557373,703.070374
2016.666626,696.875
2016.666626,690.625
2016.666626,684.375
2016.666626,678.125
2016.721313,671.984314
2016.925415,665.978516
2017.262207,660.117676
2017.761353,654.4245
2018.42627,648.889832
2019.22168,643.465027
2020.07666,638.069946
2020.901855,632.615417
2021.617188,627.030273
2022.17395,621.279541
2022.56311,615.366272
2022.807373,609.320374
2022.916626,603.125
2022.916626,596.875
2022.916626,590.625
2022.916626,584.375
2022.807373,578.179626
2022.56311,572.133728
2022.17395,566.220459
2021.617188,560.469727
2020.901855,554.884583
2020.07666,549.430054
2019.22168,544.034973
2018.42627,538.610168
2017.761353,533.0755
2017.262207,527.382324
2016.925415,521.521484
2016.721313,515.515686
2016.666626,509.375
2016.666626,503.125
2016.666626,496.875
2016.666626,490.625
2016.666626,484.375
2016.666626,478.125
2016.666626,471.875
2016.666626,465.625
2016.666626,459.375
2016.666626,453.125
2016.666626,446.875
2016.666626,440.625
2016.666626,434.375
2016.666626,428.125
2016.666626,421.875
2016.666626,415.625
2016.666626,409.375
2016.557373,403.179657
2016.31311,397.133728
2015.92395,391.22049
2015.367188,385.469696
2014.651855,379.884583
2013.82666,374.430084
2012.97168,369.034973
2012.17627,363.610138
2011.511353,358.07547
2011.012207,352.382294
2010.675415,346.521484
2010.471313,340.515686
2010.416626,334.375
2010.416626,328.125
2010.416626,321.875
2010.416626,315.625
2010.416626,309.375
2010.416626,303.125
2010.416626,296.875
2010.416626,290.625
2010.416626,284.375
2010.307373,278.179657
2010.06311,272.133728
2009.67395,266.22049
2009.117188,260.469696
2008.401855,254.884598
2007.57666,249.430069
2006.72168,244.034958
2005.92627,238.610153
2005.261353,233.07547
2004.762207,227.382309
2004.425415,221.5215
2004.112061,215.570343
2003.81311,209.633728
2003.42395,203.72049
2002.867188,197.969711
2002.151855,192.384598
2001.32666,186.930069
2000.47168,181.534958
1999.67627,176.110153
1998.9021,170.630127
1998.158691,165.141037
1997.432739,159.616974
1996.671753,154.110397
1995.901855,148.634598
1994.967285,143.234726
1993.868286,138.043701
1992.683594,132.955627
1991.461914,127.920189
1990.247314,122.891907
1989.085327,117.826569
1988.026367,112.675652
1987.17627,107.360146
1986.4021,101.880127
1985.658691,96.391045
1984.932739,90.866982
1984.0625,85.415054
1983.04834,80.143326
1981.833984,75.025558
1980.422241,70.129677
1978.802124,65.424393
1977.067871,60.889282
1975.324585,56.387756
1973.526123,51.906006
1971.697632,47.484497
1969.820068,43.087521
1967.71814,38.839554
1965.369873,34.864655
1962.769775,31.125399
1959.790039,27.709967
1956.483887,24.675529
1952.879517,21.926054
1949.049683,19.445112
1944.96936,17.180658
1940.730835,15.137444
1936.419189,13.178358
1932.076416,11.265923
1927.869019,9.457556
1923.946045,7.685937
1920.374634,6.019505

